address,zip code,INCENTIVE AMOUNT,grant,company
150 N MICHIGAN AVE 35TH,60601,"150,000",150000,"GERMAN AMERICAN EVENTS, LLC"
50 W WASHINGTON ST,60602,"150,000",150000,THE NOBLE GRAPE CORPORATION
3252 N BROADWAY,60657,"47,700",47700,Patrick Markham
4560 N LINCOLN AVE,60625,"87,350.63",87350.63,Patrick Markham
2439 W FULLERTON AVE,60647,"50,000",50000,Patrick Markham
3149 N WOLCOTT AVE,60657,"1,562.50",1562.5,Patrick Markham
415 N ASHLAND AVE,60622,"9,950",9950,Patrick Markham
5228 N CLARK ST,60640,"150,000",150000,CHICAGO FAIR TRADE
2559 W DIVISION ST,60622,"50,000",50000,SHADDAIISH LLC
832-900 W RANDOLPH ST,60607,"150,000",150000,"GEB, LLC"
2345 N LEAVITT ST,60647,"16,250",16250,"THE LEAVITT STREET TAVERN, LLC"
9358 S STONY ISLAND AVE,60617,"100,000",100000,PETER MELIS
511-521 N CLARK ST 1,60654,"15,262.50",15262.5,CLARK LOFT LLC
441 N CLARK ST,60654,"92,400",92400,441 CLARK RESTAURANT LLC
501-509 N CLARK ST,60654,"134,702.20",134702.2,CLARK ILLINOIS LLC
2535-2537 W PETERSON AVE 1,60659,"45,000",45000,D C HENNING INC
400-406 N CLARK ST,60654,"89,945.63",89945.63,TS7 HOSPITALITY LLC
501-521 N CLARK ST 1,60654,"28,814.29",28814.29,RIVER NORTH ITALIAN LLC
2024-2028 N HALSTED ST,60614,"50,000",50000,"GABE'S PLACE, INC."
414-420 N CLARK ST,60654,"96,775.16",96775.16,WASHINGTON SQUARE LIQUORS INC
55 W RIVERWALK   SOUTH,60601,"50,000",50000,"TINY LOUNGE ON THE RIVERWALK, L.L.C."
612 S WABASH AVE 1ST,60605,"100,000",100000,"HAROLD'S ON WABASH, INC."
440-450 N CLARK ST,60654,"43,439.99",43439.99,ROKA AKOR CHICAGO LLC
720 W RANDOLPH ST 1,60661,"50,000",50000,720 SUSHI MIKE's LLC
1501-1515 W BALMORAL AVE STREET,60640,"50,000",50000,"REPLAY ANDERSONVILLE, INC.,"
3900-3904 N SHERIDAN RD,60613,"37,516.25",37516.25,WRIGLEYVILLE NORTH VENTURE LLC
500-508 N CLARK ST,60654,"100,000",100000,Tapas Chicago LLC
